Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,08/12/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$142.99,$0.00,$7558.23
"Avidia Checking",,U,,08/13/2013,"Safety Insurane","Housing : House/Rental Insurance","Hidden Categories","Housing ` House/Rental Insurance","",$1050.00,$0.00,$6508.23
"Avidia Checking",,U,,08/13/2013,"Mount Holyoke","Education : College","Education","College","",$3284.25,$0.00,$3223.98
"Avidia Checking",,U,,08/14/2013,"Transfer : Lisa Cash Account",,,,"",$100.00,$0.00,$3123.98
"Avidia Checking",,U,,08/15/2013,"softright","Income : Available next month","Income","Available next month","",$0.00,$3267.66,$6391.64
"Avidia Checking",,U,,08/15/2013,"Pumpkin Brook","Income : Available next month","Income","Available next month","",$0.00,$309.12,$6700.76
"Avidia Checking",,U,,08/15/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","",$5.00,$0.00,$6695.76
"Avidia Checking",,U,,08/15/2013,"Transfer : Target Lisa",,,,"",$110.20,$0.00,$6585.56
"Avidia Checking",,U,,08/15/2013,"Nicole Mac wedding","Personal : Gifts","Personal","Gifts","Beautiful wedding",$200.00,$0.00,$6385.56
"Avidia Checking",,U,,08/16/2013,"nstar","Housing : Gas","Hidden Categories","Housing ` Gas","",$47.28,$0.00,$6338.28
"Avidia Checking",,U,,08/21/2013,"Sandrinos","Food : Restaurants","Food","Restaurants","",$6.41,$0.00,$6331.87
"Avidia Checking",,U,,08/22/2013,"Bamboo Restaurant","Food : Restaurants","Food","Restaurants","Took tom to lunch",$37.46,$0.00,$6294.41
"Avidia Checking",,U,,08/23/2013,"bank  fee","Recreation : Vacation","Recreation","Vacation","",$2.50,$0.00,$6291.91
"Avidia Checking",,U,,08/23/2013,"bank fee","Recreation : Vacation","Recreation","Vacation","",$3.25,$0.00,$6288.66
"Avidia Checking",,U,,08/23/2013,"kelly's roastbeef","Food : Restaurants","Food","Restaurants","",$21.61,$0.00,$6267.05
"Avidia Checking",,U,,08/23/2013,"cash","Recreation : Vacation","Recreation","Vacation","",$100.00,$0.00,$6167.05
"Avidia Checking",,U,,08/25/2013,"parking","Recreation : Vacation","Recreation","Vacation","",$10.00,$0.00,$6157.05
"Avidia Checking",,U,,08/27/2013,"Harbor grill block Isl","Recreation : Vacation","Recreation","Vacation","",$120.05,$0.00,$6037.00
"Avidia Checking",,U,,08/28/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","",$5.00,$0.00,$6032.00
"Avidia Checking",,U,,08/28/2013,"water","Housing : Water","Hidden Categories","Housing ` Water","",$201.02,$0.00,$5830.98
"Avidia Checking",,U,,08/29/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$451.38,$6282.36
"Avidia Checking",,U,,08/30/2013,"softright","Income : Available next month","Income","Available next month","",$0.00,$3357.69,$9640.05
"Avidia Checking",,U,,08/30/2013,"Sandrinos","Food : Restaurants","Food","Restaurants","",$18.65,$0.00,$9621.40
